position,hand,action
SB,AJs,Fold
SB,ATs,Fold
SB,A9s,Fold
SB,A8s,Fold
SB,A7s,Fold
SB,A6s,Fold
SB,A5s,Raise
SB,A4s,Raise
SB,A3s,Fold
SB,A2s,Fold
SB,AKo,Raise
SB,KK,Raise
SB,KQs,Fold
SB,KJs,Fold
SB,KTs,Raise
SB,K9s,Fold
SB,K8s,Fold
SB,K7s,Fold
SB,K6s,Fold
SB,K5s,Fold
SB,K4s,Fold
SB,K3s,Fold
SB,K2s,Fold
SB,AQo,Fold
SB,KQo,Fold
SB,QQ,Raise
SB,QJs,Fold
SB,QTs,Raise
SB,Q9s,Fold
SB,Q8s,Fold
SB,Q7s,Fold
SB,Q6s,Fold
SB,Q5s,Fold
SB,Q4s,Fold
SB,Q3s,Fold
SB,Q2s,Fold
SB,AJo,Fold
SB,KJo,Fold
SB,QJo,Fold
SB,JJ,Raise
SB,JTs,Fold
SB,J9s,Fold
SB,J8s,Fold
SB,J7s,Fold
SB,J6s,Fold
SB,J5s,Fold
SB,J4s,Fold
SB,J3s,Fold
SB,J2s,Fold
SB,ATo,Fold
SB,KTo,Fold
SB,QTo,Fold
SB,JTo,Fold
SB,TT,Fold
SB,T9s,Fold
SB,T8s,Fold
SB,T7s,Fold
SB,T6s,Fold
SB,T5s,Fold
SB,T4s,Fold
SB,T3s,Fold
SB,T2s,Fold
SB,A9o,Fold
SB,K9o,Fold
SB,Q9o,Fold
SB,J9o,Fold
SB,T9o,Fold
SB,99,Fold
SB,98s,Fold
SB,97s,Fold
SB,96s,Fold
SB,95s,Fold
SB,94s,Fold
SB,93s,Fold
SB,92s,Fold
SB,A8o,Fold
SB,K8o,Fold
SB,Q8o,Fold
SB,J8o,Fold
SB,T8o,Fold
SB,98o,Fold
SB,88,Fold
SB,87s,Fold
SB,86s,Fold
SB,85s,Fold
SB,84s,Fold
SB,83s,Fold
SB,82s,Fold
SB,A7o,Fold
SB,K7o,Fold
SB,Q7o,Fold
SB,J7o,Fold
SB,T7o,Fold
SB,97o,Fold
SB,87o,Fold
SB,77,Fold
SB,76s,Fold
SB,75s,Fold
SB,74s,Fold
SB,73s,Fold
SB,72s,Fold
SB,A6o,Fold
SB,K6o,Fold
SB,Q6o,Fold
SB,J6o,Fold
SB,T6o,Fold
SB,96o,Fold
SB,86o,Fold
SB,76o,Fold
SB,66,Fold
SB,65s,Fold
SB,64s,Fold
SB,63s,Fold
SB,62s,Fold
SB,A5o,Fold
SB,K5o,Fold
SB,Q5o,Fold
SB,J5o,Fold
SB,T5o,Fold
SB,95o,Fold
SB,85o,Fold
SB,75o,Fold
SB,65o,Fold
SB,55,Fold
SB,54s,Fold
SB,53s,Fold
SB,52s,Fold
SB,A4o,Fold
SB,K4o,Fold
SB,Q4o,Fold
SB,J4o,Fold
SB,T4o,Fold
SB,94o,Fold
SB,84o,Fold
SB,74o,Fold
SB,64o,Fold
SB,54o,Fold
SB,44,Fold
SB,43s,Fold
SB,42s,Fold
SB,A3o,Fold
SB,K3o,Fold
SB,Q3o,Fold
SB,J3o,Fold
SB,T3o,Fold
SB,93o,Fold
SB,83o,Fold
SB,73o,Fold
SB,63o,Fold
SB,53o,Fold
SB,43o,Fold
SB,33,Raise
SB,32s,Fold
SB,A2o,Fold
SB,K2o,Fold
SB,Q2o,Fold
SB,J2o,Fold
SB,T2o,Fold
SB,92o,Fold
SB,82o,Fold
SB,72o,Fold
SB,62o,Fold
SB,52o,Fold
SB,42o,Fold
SB,32o,Fold
SB,22,Raise
BB,AA,Raise
BB,AKs,Raise
BB,AQs,Fold
BB,AJs,Fold
BB,ATs,Fold
BB,A9s,Fold
BB,A8s,Fold
BB,A7s,Fold
BB,A6s,Fold
BB,A5s,Check
BB,A4s,Check
BB,A3s,Check
BB,A2s,Check
BB,AKo,Raise
BB,KK,Raise
BB,KQs,Fold
BB,KJs,Fold
BB,KTs,Fold
BB,K9s,Fold
BB,K8s,Fold
BB,K7s,Fold
BB,K6s,Fold
BB,K5s,Check
BB,K4s,Check
BB,K3s,Check
BB,K2s,Check
BB,AQo,Fold
BB,KQo,Fold
BB,QQ,Raise
BB,QJs,Fold
BB,QTs,Fold
BB,Q9s,Fold
BB,Q8s,Fold
BB,Q7s,Fold
BB,Q6s,Fold
BB,Q5s,Check
BB,Q4s,Check
BB,Q3s,Check
BB,Q2s,Check
BB,AJo,Fold
BB,KJo,Fold
BB,QJo,Fold
BB,JJ,Raise
BB,JTs,Fold
BB,J9s,Fold
BB,J8s,Fold
BB,J7s,Fold
BB,J6s,Fold
BB,J5s,Check
BB,J4s,Check
BB,J3s,Check
BB,J2s,Check
BB,ATo,Fold
BB,KTo,Fold
BB,QTo,Fold
BB,JTo,Fold
BB,TT,Fold
BB,T9s,Fold
BB,T8s,Fold
BB,T7s,Fold
BB,T6s,Fold
BB,T5s,Check
BB,T4s,Check
BB,T3s,Check
BB,T2s,Check
BB,A9o,Fold
BB,K9o,Fold
BB,Q9o,Fold
BB,J9o,Fold
BB,T9o,Fold
BB,99,Fold
BB,98s,Fold
BB,97s,Fold
BB,96s,Fold
BB,95s,Check
BB,94s,Check
BB,93s,Check
BB,92s,Check
BB,A8o,Fold
BB,K8o,Fold
BB,Q8o,Fold
BB,J8o,Fold
BB,T8o,Fold
BB,98o,Fold
BB,88,Fold
BB,87s,Fold
BB,86s,Fold
BB,85s,Check
BB,84s,Check
BB,83s,Check
BB,82s,Check
BB,A7o,Fold
BB,K7o,Fold
BB,Q7o,Fold
BB,J7o,Fold
BB,T7o,Fold
BB,97o,Fold
BB,87o,Fold
BB,77,Fold
BB,76s,Fold
BB,75s,Check
BB,74s,Check
BB,73s,Check
BB,72s,Check
BB,A6o,Fold
BB,K6o,Fold
BB,Q6o,Fold
BB,J6o,Fold
BB,T6o,Fold
BB,96o,Fold
BB,86o,Fold
BB,76o,Fold
BB,66,Fold
BB,65s,Check
BB,64s,Check
BB,63s,Check
BB,62s,Check
BB,A5o,Check
BB,K5o,Check
BB,Q5o,Check
BB,J5o,Check
BB,T5o,Check
BB,95o,Check
BB,85o,Check
BB,75o,Check
BB,65o,Check
BB,55,Check
BB,54s,Check
BB,53s,Check
BB,52s,Check
BB,A4o,Check
BB,K4o,Check
BB,Q4o,Check
BB,J4o,Check
BB,T4o,Check
BB,94o,Check
BB,84o,Check
BB,74o,Check
BB,64o,Check
BB,54o,Check
BB,44,Check
BB,43s,Check
BB,42s,Check
BB,A3o,Check
BB,K3o,Check
BB,Q3o,Check
BB,J3o,Check
BB,T3o,Check
BB,93o,Check
BB,83o,Check
BB,73o,Check
BB,63o,Check
BB,53o,Check
BB,43o,Check
BB,33,Check
BB,32s,Check
BB,A2o,Check
BB,K2o,Check
BB,Q2o,Check
BB,J2o,Check
BB,T2o,Check
BB,92o,Check
BB,82o,Check
BB,72o,Check
BB,62o,Check
BB,52o,Check
BB,42o,Check
BB,32o,Check
BB,22,Check
